iter	Passed	Remaining
298	5147	12069
299	5158	12037
300	5171	12009
301	5185	11984
302	5198	11959
303	5211	11931
304	5225	11907
305	5240	11885
306	5252	11857
307	5265	11830
308	5276	11799
309	5287	11768
310	5298	11737
311	5309	11707
312	5329	11696
313	5339	11665
314	5353	11641
315	5367	11618
316	5380	11592
317	5394	11568
318	5408	11546
319	5424	11526
320	5438	11504
321	5452	11480
322	5469	11464
323	5485	11444
324	5502	11429
325	5519	11412
326	5536	11393
327	5550	11370
328	5564	11349
329	5581	11331
330	5598	11315
331	5611	11290
332	5624	11264
333	5636	11239
334	5649	11215
335	5662	11190
336	5674	11164
337	5687	11140
338	5700	11115
339	5713	11091
340	5736	11085
341	5753	11069
342	5768	11049
343	5784	11030
344	5797	11006
345	5812	10985
346	5824	10961
347	5837	10936
348	5850	10912
349	5861	10885
350	5878	10868
351	5889	10842
352	5901	10817
353	5914	10793
354	5925	10766
355	5937	10741
356	5949	10714
357	5964	10696
358	5979	10676
359	5990	10650
360	6004	10627
361	6018	10607
362	6036	10593
363	6050	10571
364	6065	10551
365	6078	10528
366	6092	10508
367	6106	10487
368	6121	10467
369	6142	10458
370	6153	10432
371	6166	10410
372	6177	10383
373	6192	10364
374	6207	10346
375	6218	10320
376	6230	10296
377	6244	10275
378	6258	10254
379	6271	10231
380	6284	10210
381	6298	10189
382	6315	10174
383	6329	10153
384	6340	10128
385	6352	10104
386	6364	10081
387	6379	10062
388	6390	10038
389	6403	10016
390	6414	9991
391	6427	9969
392	6440	9947
393	6452	9923
394	6463	9900
395	6477	9879
396	6488	9856
397	6501	9834
398	6515	9814
399	6527	9791
400	6547	9780
401	6558	9756
402	6572	9736
403	6583	9712
404	6596	9691
